id,X,Y
a,50.98588413910173,26.7670387153586
b,50.990302,26.762261
c,50.990349,26.762414
d,50.988748,26.756288
e,50.988039,26.747340
f,50.995461,26.757068
z,50.992139,26.763097
g,50.988573, 26.764385
h,50.991639,26.751146
i,50.992598,26.748206
j,50.995731,26.751081
k,50.999756,26.754986
l,51.003361,26.755888
m,51.002308,26.756145
n,51.004374,26.755330
o,51.003496,26.746167
p,51.004441,26.746167
q,51.002470,26.745910
r,51.002159,26.736168
s,51.004347,26.736147
t,50.998594,26.740331
u,50.997176,26.727285
w,51.001660,26.725654
1,51.005359,26.761746
2,51.006602,26.759986
3,51.011503,26.757518
4,51.010422,26.752476
5,50.996528,26.748850
6,51.001228,26.747862
7,51.000971,26.746017
